combo_idx,umap_params,hdbscan_params,galaxy_n_clusters,galaxy_silhouette,galaxy_calinski_harabasz,galaxy_davies_bouldin,cluster_n_clusters,cluster_silhouette,cluster_calinski_harabasz,cluster_davies_bouldin,largest_galaxy_size
1,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 50},63,0.8276045918464661,2844.636962890625,0.4455941061162372,25,0.6931475400924683,511.32659912109375,0.6972537701616084,2843
2,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 100},39,0.6533693075180054,1608.4671630859375,0.7982172627736756,15,0.4727526903152466,576.38330078125,0.9960634735373066,4081
3,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 150},29,0.5967952609062195,1733.158935546875,0.8915588740937792,9,0.3455227017402649,568.7738647460938,1.2684833896719254,3927
4,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 50},63,0.8295344114303589,3268.890869140625,0.6952994166486668,17,0.6218874454498291,451.08197021484375,0.7615946875919756,2160
5,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 100},40,0.657019853591919,1643.2264404296875,0.770029896503483,16,0.4533746838569641,516.8631591796875,1.069571772622516,4107
6,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 150},28,0.598715603351593,1970.431640625,0.8831073804409325,10,0.41228389739990234,591.239501953125,1.377779419816544,3878
7,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 50},64,0.8295153379440308,3608.96484375,0.4071079216906579,19,0.5568599700927734,408.8909606933594,0.8515582298988054,2674
8,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 100},38,0.6433039307594299,1771.5672607421875,0.8060695149441847,16,0.4399591088294983,426.6521911621094,1.1963568788686472,3955
9,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 150},29,0.5714299082756042,1687.0020751953125,0.9139466040008535,10,0.34911659359931946,572.8070068359375,1.3078472656292597,4434
10,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 50},63,0.8839071393013,7085.71240234375,1.0142893102670414,16,0.6800097227096558,654.515869140625,1.171339084588408,2160
11,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 100},41,0.770316481590271,3591.14013671875,1.1461236763541198,5,0.38939282298088074,486.3276062011719,1.1956999792331238,2160
12,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 150},31,0.6260179281234741,1877.2774658203125,0.8240479711242892,7,0.2916443645954132,525.0575561523438,1.4197717580160962,3747
13,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 50},63,0.8749684691429138,5954.64404296875,1.0508749681856242,19,0.6620340943336487,407.17401123046875,0.7581024305219127,2160
14,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 100},41,0.7546827793121338,2932.894287109375,1.162316564655084,6,0.38800308108329773,397.3156433105469,1.7411290138058046,2160
15,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 150},29,0.581551730632782,1593.6920166015625,0.9115210319462846,10,0.3947608172893524,659.6587524414062,1.1731911519519733,4165
16,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 50},63,0.8677670359611511,5401.3154296875,1.052343728563812,18,0.6561238765716553,478.8834533691406,0.7026098603511645,2160
17,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 100},40,0.7510555386543274,2892.7822265625,1.1397221040889087,5,0.22649280726909637,218.060546875,2.174883636341405,2160
18,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 150},31,0.6273331046104431,1883.6517333984375,1.1356768682912146,7,0.30234596133232117,363.0843505859375,1.5267748398768362,3187
19,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 50},66,0.9073985815048218,12216.5546875,0.8815658508329377,18,0.7595118880271912,771.3861083984375,0.7145684428725856,2160
20,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 100},41,0.7809222340583801,4127.2734375,1.0106509015728227,6,0.384920209646225,333.53057861328125,1.1945620135367059,2160
21,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 150},29,0.653278112411499,2562.974853515625,1.0329612263520782,6,0.2333240509033203,296.7578125,1.8453634007932147,2601
22,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 50},67,0.9063575863838196,13846.0322265625,0.809219339355235,19,0.7469199895858765,620.181396484375,0.9167475982814163,2160
23,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 100},40,0.771428644657135,3687.4169921875,1.0525499401914835,9,0.506378710269928,435.3138122558594,1.1365721148306864,2160
24,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 150},30,0.6291873455047607,1967.9019775390625,1.113828470699381,8,0.4093383252620697,580.7992553710938,1.5916211484236544,3181
25,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 50},68,0.8989285826683044,9568.5869140625,0.9369576357347189,20,0.805252194404602,969.6253051757812,0.6428258562462418,2160
26,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 100},39,0.7491312623023987,2827.24609375,1.0869530721987561,8,0.42374899983406067,370.4943542480469,1.5917290436622755,2160
27,"{'n_components': 10, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 150},28,0.5845121741294861,1761.024658203125,0.8926352819793736,8,0.30698341131210327,551.9033203125,1.514287927253524,4422
28,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 50},65,0.8807021975517273,6451.0703125,0.9798771470985378,20,0.7652124762535095,773.0775146484375,0.7159445701509736,2160
29,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 100},41,0.7660189270973206,3366.34423828125,1.194039948540767,6,0.2961652874946594,255.29931640625,1.671898070676617,2160
30,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 150},31,0.6239807605743408,1799.2685546875,0.8645730107814456,7,0.32231226563453674,529.5988159179688,1.6107597620044356,3878
31,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 50},65,0.8622236847877502,5207.4248046875,0.35297107695156865,18,0.6315069794654846,427.801513671875,1.153476516157192,2498
32,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 100},40,0.6934067010879517,2010.35986328125,0.7281171488533549,16,0.6015412211418152,635.8518676757812,1.2541435375500876,3465
33,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 150},27,0.5774433612823486,1688.2880859375,0.9736544692247106,8,0.2596624195575714,339.67120361328125,1.632780342458731,3720
34,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 50},65,0.8601607084274292,4777.5712890625,1.0954947080405995,17,0.641621470451355,382.88323974609375,0.8932363742452388,2160
35,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 100},39,0.7430347204208374,3019.61669921875,1.1745670586727515,7,0.43601536750793457,359.7300720214844,1.538422599278404,2160
36,"{'n_components': 15, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 150},29,0.5978731513023376,1717.96826171875,0.9208223181207245,7,0.3934835195541382,601.7130126953125,1.2183461786406127,4101
37,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 50},63,0.8915866613388062,7564.04736328125,0.9796305711772118,17,0.6527805924415588,391.17510986328125,0.8376638184121622,2160
38,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 100},42,0.8045718669891357,4521.7744140625,1.0680434819051077,7,0.43632808327674866,402.41546630859375,1.640503782865957,2160
39,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 150},29,0.6365845799446106,1974.93798828125,1.1187309567908998,8,0.300610214471817,302.7258605957031,1.5420152104327243,3027
40,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 50},63,0.8860918283462524,7303.77490234375,0.982299870302153,19,0.7459188103675842,699.1492309570312,0.7755982675422498,2160
41,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 100},42,0.8028642535209656,4709.83056640625,1.0515735105711188,7,0.4264238178730011,400.3208923339844,1.9817277628668535,2160
42,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 150},30,0.654089629650116,2231.072998046875,1.0850009329304915,7,0.4230808913707733,414.7318420410156,1.330478890952925,2850
43,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 50},63,0.8793317079544067,6926.9736328125,0.9663212803310199,19,0.7352471351623535,620.3880615234375,1.1401217011781875,2160
44,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 100},42,0.7974090576171875,4459.36767578125,1.0796634265012046,6,0.3249930143356323,252.66485595703125,1.7224841145068897,2160
45,"{'n_components': 15, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 150},30,0.6337634325027466,1850.5948486328125,0.9048842581596301,10,0.3815808594226837,442.3272705078125,1.348207765751895,3908
46,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 50},66,0.9075775742530823,8223.0322265625,0.8687631241481267,17,0.6753097772598267,378.395263671875,1.0185391574432248,2160
47,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 100},38,0.7760149836540222,3718.41552734375,1.0555703335597497,5,0.3891046345233917,376.6866455078125,1.6476387665621015,2160
48,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 150},29,0.6694315075874329,2372.08740234375,1.047826142592139,6,0.3513175845146179,397.10882568359375,1.1886990758437348,2896
49,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 50},66,0.9017529487609863,8386.072265625,0.8537672512779299,17,0.6483726501464844,351.1304016113281,0.7874818215771491,2160
50,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 100},38,0.7675721049308777,3216.7646484375,1.0775709240286273,5,0.38265833258628845,386.1787109375,1.7035355436561346,2160
51,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 150},29,0.701682448387146,2773.833740234375,1.1415261695310444,2,0.052916478365659714,91.57838439941406,3.9768302761868366,2312
52,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 50},65,0.8937548398971558,7523.95703125,0.9254822469961018,16,0.695152223110199,461.2117919921875,1.06184692185017,2160
53,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 100},39,0.7694185376167297,3342.843017578125,1.040755684304713,5,0.36929401755332947,337.7605895996094,2.0236027180649208,2160
54,"{'n_components': 15, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 150},28,0.684367835521698,2605.650634765625,1.143090998463493,2,0.10974998027086258,188.16334533691406,2.5338936826976433,2326
55,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 50},65,0.8772945404052734,5363.87841796875,1.0418727230901004,13,0.6341878175735474,386.335693359375,1.0952163993489707,2160
56,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 100},39,0.7533733248710632,3133.118408203125,1.1672483481248006,5,0.3517046272754669,329.0289306640625,2.0493719720481516,2160
57,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 150},29,0.6240829825401306,1922.076904296875,0.9007667907374867,8,0.2874448895454407,371.0472717285156,1.6933718979996915,3871
58,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 50},65,0.8722741007804871,5127.392578125,1.0284572847353108,13,0.6087188124656677,337.69744873046875,1.2703224757242035,2160
59,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 100},39,0.7535933256149292,3276.021728515625,1.1798257564760524,5,0.35188692808151245,315.11224365234375,1.89589847528417,2160
60,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 150},29,0.6155785322189331,1717.6455078125,0.9404211206911719,9,0.4248025119304657,536.267578125,1.7252887525317564,3954
61,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 50},65,0.8677441477775574,5051.4833984375,1.0268834496474903,12,0.5948137044906616,360.3838195800781,1.0506274165137601,2160
62,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 100},40,0.7505632638931274,3103.733154296875,1.1489608862639251,5,0.28700047731399536,224.1769256591797,1.7939992464124217,2160
63,"{'n_components': 20, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 150},28,0.6059710383415222,1804.112548828125,0.9608654229890395,8,0.2874579429626465,356.45709228515625,1.6890783479828295,3837
64,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 50},64,0.8965505361557007,7498.5341796875,1.0025931663600054,16,0.653114914894104,391.1809997558594,1.1382064089795783,2160
65,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 100},41,0.8079662919044495,4259.84619140625,1.0890523440348248,5,0.3516136705875397,328.8656005859375,2.047095187902525,2160
66,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 150},30,0.7277986407279968,3123.96337890625,1.1872382669929242,5,0.3485136330127716,324.2400817871094,1.9125567533044106,2160
67,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 50},63,0.891724169254303,8026.86279296875,0.9746541598400937,16,0.6296323537826538,331.10675048828125,1.2056876781710337,2160
68,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 100},42,0.8073126673698425,4311.98388671875,1.0899049186186762,5,0.3356713056564331,292.7662048339844,1.9926180135417675,2160
69,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.1}",{'min_cluster_size': 150},31,0.7248773574829102,2976.92236328125,1.182734482015173,5,0.348747193813324,334.95513916015625,1.68698469478722,2160
70,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 50},63,0.880431056022644,6547.734375,1.02117944945357,16,0.6694818735122681,389.7078552246094,1.2352304632600548,2160
71,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 100},41,0.7999712824821472,4214.3369140625,1.1019034302323698,5,0.3460656702518463,295.9964599609375,2.2223041657970315,2160
72,"{'n_components': 20, 'n_neighbors': 15, 'min_dist': 0.15}",{'min_cluster_size': 150},29,0.6977668404579163,2785.009033203125,1.2129530342839243,4,0.3277575969696045,351.41363525390625,1.1767260754958924,2160
73,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 50},65,0.8987287878990173,7965.26904296875,0.8780432095784421,16,0.6665098071098328,400.9721984863281,1.037582188801188,2160
74,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 100},38,0.7898149490356445,3810.807861328125,1.0508251166852147,5,0.3546239137649536,339.3297424316406,1.682532223115371,2160
75,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.05}",{'min_cluster_size': 150},31,0.7403150200843811,3221.695556640625,1.0870364267863268,5,0.3934986889362335,369.599609375,1.9351926583756982,2160
76,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 50},65,0.9007389545440674,8935.296875,0.8368927830819388,16,0.6871885061264038,423.2319641113281,1.0230428394118198,2160
77,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 100},39,0.7763575911521912,3611.991943359375,1.024664735535969,5,0.38885053992271423,378.8701171875,1.7882828055992235,2160
78,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.1}",{'min_cluster_size': 150},32,0.7458418607711792,3334.579833984375,1.0770436346978918,5,0.37844523787498474,383.7738952636719,1.4320119259262576,2160
79,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 50},65,0.8710209131240845,4859.32421875,0.3335279122248159,19,0.7071889638900757,491.8481750488281,1.0747454337699327,2543
80,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 100},39,0.7687904238700867,3416.7421875,1.0968904146839717,5,0.36788851022720337,346.1175842285156,1.8706578343949238,2160
81,"{'n_components': 20, 'n_neighbors': 20, 'min_dist': 0.15}",{'min_cluster_size': 150},31,0.7051047086715698,2712.32470703125,1.1321494025883514,2,0.05854294076561928,78.08052825927734,4.595221872598298,2249
